Entity,Code,Date,Confirmed COVID-19 deaths per million people (deaths per million),Year,Population density (people per sq. km of land area) (Rate)
Afghanistan,AFG,30-May-20,6.319,2017,54.42220537
Algeria,DZA,30-May-20,14.549,2017,17.34787368
American Samoa,ASM,31-Dec-19,,2017,278.205
American Samoa,ASM,01-Jan-20,,2017,278.205
American Samoa,ASM,02-Jan-20,,2017,278.205
American Samoa,ASM,03-Jan-20,,2017,278.205
American Samoa,ASM,04-Jan-20,,2017,278.205
American Samoa,ASM,05-Jan-20,,2017,278.205
American Samoa,ASM,06-Jan-20,,2017,278.205
American Samoa,ASM,07-Jan-20,,2017,278.205
American Samoa,ASM,08-Jan-20,,2017,278.205
American Samoa,ASM,09-Jan-20,,2017,278.205
American Samoa,ASM,10-Jan-20,,2017,278.205
American Samoa,ASM,11-Jan-20,,2017,278.205
American Samoa,ASM,12-Jan-20,,2017,278.205
American Samoa,ASM,13-Jan-20,,2017,278.205
American Samoa,ASM,14-Jan-20,,2017,278.205
American Samoa,ASM,15-Jan-20,,2017,278.205
American Samoa,ASM,16-Jan-20,,2017,278.205
American Samoa,ASM,17-Jan-20,,2017,278.205
American Samoa,ASM,18-Jan-20,,2017,278.205
American Samoa,ASM,19-Jan-20,,2017,278.205
American Samoa,ASM,20-Jan-20,,2017,278.205
American Samoa,ASM,21-Jan-20,,2017,278.205
American Samoa,ASM,22-Jan-20,,2017,278.205
American Samoa,ASM,23-Jan-20,,2017,278.205
American Samoa,ASM,24-Jan-20,,2017,278.205
American Samoa,ASM,25-Jan-20,,2017,278.205
American Samoa,ASM,26-Jan-20,,2017,278.205
American Samoa,ASM,27-Jan-20,,2017,278.205
American Samoa,ASM,28-Jan-20,,2017,278.205
American Samoa,ASM,29-Jan-20,,2017,278.205
American Samoa,ASM,30-Jan-20,,2017,278.205
American Samoa,ASM,31-Jan-20,,2017,278.205
American Samoa,ASM,01-Feb-20,,2017,278.205
American Samoa,ASM,02-Feb-20,,2017,278.205
American Samoa,ASM,03-Feb-20,,2017,278.205
American Samoa,ASM,04-Feb-20,,2017,278.205
American Samoa,ASM,05-Feb-20,,2017,278.205
American Samoa,ASM,06-Feb-20,,2017,278.205
American Samoa,ASM,07-Feb-20,,2017,278.205
American Samoa,ASM,08-Feb-20,,2017,278.205
American Samoa,ASM,09-Feb-20,,2017,278.205
American Samoa,ASM,10-Feb-20,,2017,278.205
American Samoa,ASM,11-Feb-20,,2017,278.205
American Samoa,ASM,12-Feb-20,,2017,278.205
American Samoa,ASM,13-Feb-20,,2017,278.205
American Samoa,ASM,14-Feb-20,,2017,278.205
American Samoa,ASM,15-Feb-20,,2017,278.205
American Samoa,ASM,16-Feb-20,,2017,278.205
American Samoa,ASM,17-Feb-20,,2017,278.205
American Samoa,ASM,18-Feb-20,,2017,278.205
American Samoa,ASM,19-Feb-20,,2017,278.205
American Samoa,ASM,20-Feb-20,,2017,278.205
American Samoa,ASM,21-Feb-20,,2017,278.205
American Samoa,ASM,22-Feb-20,,2017,278.205
American Samoa,ASM,23-Feb-20,,2017,278.205
American Samoa,ASM,24-Feb-20,,2017,278.205
American Samoa,ASM,25-Feb-20,,2017,278.205
American Samoa,ASM,26-Feb-20,,2017,278.205
American Samoa,ASM,27-Feb-20,,2017,278.205
American Samoa,ASM,28-Feb-20,,2017,278.205
American Samoa,ASM,29-Feb-20,,2017,278.205
American Samoa,ASM,01-Mar-20,,2017,278.205
American Samoa,ASM,02-Mar-20,,2017,278.205
American Samoa,ASM,03-Mar-20,,2017,278.205
American Samoa,ASM,04-Mar-20,,2017,278.205
American Samoa,ASM,05-Mar-20,,2017,278.205
American Samoa,ASM,06-Mar-20,,2017,278.205
American Samoa,ASM,07-Mar-20,,2017,278.205
American Samoa,ASM,08-Mar-20,,2017,278.205
American Samoa,ASM,09-Mar-20,,2017,278.205
American Samoa,ASM,10-Mar-20,,2017,278.205
American Samoa,ASM,11-Mar-20,,2017,278.205
American Samoa,ASM,12-Mar-20,,2017,278.205
American Samoa,ASM,13-Mar-20,,2017,278.205
American Samoa,ASM,14-Mar-20,,2017,278.205
American Samoa,ASM,15-Mar-20,,2017,278.205
American Samoa,ASM,16-Mar-20,,2017,278.205
American Samoa,ASM,17-Mar-20,,2017,278.205
American Samoa,ASM,18-Mar-20,,2017,278.205
American Samoa,ASM,19-Mar-20,,2017,278.205
American Samoa,ASM,20-Mar-20,,2017,278.205
American Samoa,ASM,21-Mar-20,,2017,278.205
American Samoa,ASM,22-Mar-20,,2017,278.205
American Samoa,ASM,23-Mar-20,,2017,278.205
American Samoa,ASM,24-Mar-20,,2017,278.205
American Samoa,ASM,25-Mar-20,,2017,278.205
American Samoa,ASM,26-Mar-20,,2017,278.205
American Samoa,ASM,27-Mar-20,,2017,278.205
American Samoa,ASM,28-Mar-20,,2017,278.205
American Samoa,ASM,29-Mar-20,,2017,278.205
American Samoa,ASM,30-Mar-20,,2017,278.205
American Samoa,ASM,31-Mar-20,,2017,278.205
