country,age,deaths,deaths/mil,density,% internet,fat rate
Afghanistan,43.200001,246,6.319,54.42220537,10.59572642,1.801
Albania,53.200001,33,11.467,104.8706934,66.3634447,3.003
Algeria,47.200001,638,14.549,17.34787368,42.94552688,6.985
Argentina,46.900002,520,11.505,16.17685635,70.96898082,3.375
Armenia,50.599998,120,40.496,102.9311556,64.34602977,1.383
Australia,46.700001,103,4.039,3.202027127,88.23865805,1.436
Austria,49.400002,668,74.169,106.7485671,84.32333129,4.026
Azerbaijan,46.099998,58,5.72,119.3088685,78.2,1.163
Bahamas,47.5,11,27.972,39.4966034,80,10.784
Bahrain,49,15,8.815,1935.906615,97.9999807,0.144
Bangladesh,50.599998,582,3.534,1265.036114,18.246938,1.358
Belarus,45.299999,224,23.705,46.85759696,71.11304576,0.55
Belgium,47.099998,9443,814.781,375.5636724,86.5165,16.264
Bolivia,45.099998,300,25.7,10.20179082,39.6975146,3.436
Bosnia and Herzegovina,49.799999,153,46.635,68.49642578,60.26,6.157
Brazil,50.799999,27878,131.154,25.04005413,60.87254007,5.993
Bulgaria,47.799999,139,20.004,65.18046242,59.82554766,5.562
Burkina Faso,33.900002,53,2.535,70.15125,13.96,6.257
Cameroon,35.099998,177,6.668,50.88474329,25,3.256
Canada,47.700001,6979,184.913,4.03673422,91.16,7.806
Chad,33.400002,65,3.957,11.83290502,5,8.564
Chile,50.099998,944,49.382,24.28237924,83.56,1.042
China,49.599998,4638,3.222,147.674035,53.2,5.513
Colombia,49.400002,853,16.764,44.22317711,58.13649357,3.196
Congo,33.599998,19,3.443,15.40483163,8.121949323,3.237
Costa Rica,51.099998,10,1.963,96.07851547,66.02871285,0.978
Cote d'Ivoire,30.700001,32,1.213,76.39858491,41.21,1.164
Croatia,50.5,103,25.09,73.72587563,72.69730605,4.588
Cuba,50.799999,82,7.24,110.40796,42.98,4.09
Cyprus,50.400002,17,19.409,127.6570346,75.90036019,1.807
Czech Republic,47.799999,319,29.788,137.1755343,76.48120138,3.469
Democratic Republic of Congo,35.799999,69,0.77,35.87922101,6.20997406,2.436
Denmark,46.700001,568,98.063,136.519876,96.96778525,4.9
Djibouti,42.200001,20,20.243,41.28494392,13.13491511,0.686
Dominican Republic,49,488,44.986,222.8730698,63.87,2.952
Ecuador,48.400002,3334,188.969,66.93854888,54.06292473,8.644
Egypt,42.200001,879,8.589,97.99904666,41.24806709,3.981
El Salvador,51.700001,43,6.629,307.8114382,28.99707305,1.888
Equatorial Guinea,38.400002,12,8.553,45.19390374,23.77999997,1.151
Estonia,49,67,50.507,31.03279075,87.23733209,3.604
Finland,47.900002,314,56.671,18.1358485,87.70364996,4.634
France,47.299999,28714,439.903,122.5783763,79.27,19.185
Gabon,40.200001,15,6.739,7.859420965,48.05227375,0.574
Georgia,47.299999,12,3.008,65.03201652,59.26,1.609
Germany,50,8489,101.32,237.0163371,89.64710059,4.685
Ghana,36.400002,34,1.094,126.7189461,34.66600065,0.446
Greece,51.900002,175,16.79,83.47882855,69.08791547,6.016
Guatemala,46.400002,90,5.024,157.8341079,34.50932609,1.954
Guinea,35.900002,22,1.675,51.75474524,9.8,0.602
Guyana,44.299999,11,13.985,3.951531623,35.66,7.333
Haiti,42.599998,35,3.069,398.4480769,12.23260161,2.21
Honduras,48.099998,199,20.092,82.80513898,30,4.073
Hungary,48.599998,517,53.518,108.042936,79.25940132,13.46
Iceland,49.900002,10,29.304,3.404329177,98.2400163,0.554
India,45.900002,4971,3.602,450.4186167,29.54716289,2.861
Indonesia,43.900002,1520,5.557,145.7251881,25.45,6.028
Iran,51.200001,7677,91.401,49.83102974,53.22677263,5.234
Iraq,34.5,185,4.599,88.12538681,21.23,3.15
Ireland,47.5,1645,333.145,69.87382784,85.01113212,6.613
Israel,45,284,32.811,402.6062847,79.65312418,1.672
Italy,50.5,33229,549.586,205.8591691,61.32425277,14.308
Japan,51.799999,886,7.005,347.7775867,93.18272128,5.273
Kazakhstan,43.400002,37,1.971,6.681352002,74.58772647,0.356
Kenya,40,62,1.153,87.32449309,16.6,3.553
Kuwait,43.5,194,45.427,232.1283951,78.36738376,0.77
Kyrgyzstan,43.299999,16,2.452,32.33315954,34.5,0.929
Latvia,47.599998,24,12.724,31.21164362,79.84209778,2.256
Lebanon,51.099998,26,3.809,594.5608016,76.11,2.218
Liberia,35.799999,27,5.338,49.12693106,7.319106411,9.89
Lithuania,46.400002,68,24.979,45.13521149,74.37664556,4.091
Luxembourg,46.099998,110,175.726,231.4474903,98.13669867,2.742
Macedonia,48.700001,126,60.479,82.59952419,72.15681447,5.915
Malaysia,47.599998,115,3.553,96.25403744,78.78830993,1.487
Mali,34.299999,73,3.605,15.19597768,11.11218649,5.954
Mauritania,33.299999,20,4.301,4.288526244,18,4.728
Mauritius,48.799999,10,7.863,622.962069,52.19132594,2.985
Mexico,50.400002,9415,73.023,66.44372335,59.540446,11.125
Moldova,49.299999,288,71.394,123.6545094,70.99999911,3.647
Morocco,49.5,202,5.473,80.07972216,58.27123642,2.619
Netherlands,48.700001,5931,346.136,508.5441971,90.4109589,12.858
New Zealand,48.599998,22,4.562,18.20629676,88.47018635,1.906
Nicaragua,51.400002,35,5.283,51.66678577,24.57183396,4.611
Niger,29.4,64,2.644,16.95535486,4.32275803,6.702
Nigeria,33.099998,261,1.266,209.5878334,25.67,2.806
Norway,47.099998,236,43.532,14.46213637,97.29820367,2.806
Oman,49.5,40,7.833,14.97984491,76.85,0.407
Pakistan,41.5,1395,6.315,255.5727934,15.51455779,2.099
Panama,47.599998,326,75.554,55.13299704,54,2.602
Paraguay,45.900002,11,1.542,17.14396426,53.4,1.2
Peru,48.900002,4230,128.291,25.12928516,45.46174069,2.853
Philippines,42.099998,942,8.596,351.8733944,55.5,5.663
Poland,51.5,1051,27.77,124.0270453,73.3007,4.539
Portugal,52.5,1383,135.632,112.3707003,70.42356709,4.329
Puerto Rico,53.599998,132,46.14,376.2319053,68.64,3.619
Qatar,47,36,12.495,227.3222222,94.29111815,0.068
Romania,48.599998,1240,64.457,85.12925504,59.50395129,6.533
Russia,43.900002,4374,29.972,8.823117238,73.09143462,1.128
Sao Tome and Principe,34.799999,12,54.754,212.840625,28,2.592
Saudi Arabia,47.5,458,13.156,15.32230833,74.88,0.56
Senegal,34.799999,41,2.449,82.32777749,25.66476804,1.196
Serbia,48.700001,242,35.564,80.29119598,67.05684137,2.131
Sierra Leone,37.299999,45,5.641,104.699529,11.77318438,5.428
Singapore,56.799999,23,3.931,7915.730606,84.45,0.068
Slovakia,48.599998,28,5.129,113.128395,80.4759,1.842
Slovenia,49,108,51.95,102.6190665,75.49850426,7.332
Somalia,31.1,72,4.53,23.5000526,1.88,3.939
South Africa,43.299999,611,10.302,46.75428534,54,2.09
Sri Lanka,51.400002,10,0.467,341.9550311,32.05100274,0.642
Sudan,34.599998,233,5.314,23.25841751,28,5.154
Sweden,46.5,4350,430.724,24.71764504,89.65094761,11.926
Switzerland,49.400002,1656,191.343,214.2427624,89.13468774,5.386
Tajikistan,41.700001,47,4.928,64.28128918,20.47,1.319
Tanzania,32.799999,21,0.352,64.69859901,13,4.126
Thailand,50.5,57,0.817,135.1318542,47.50496562,1.853
Togo,33.799999,13,1.57,143.3663173,11.31,3.037
Tunisia,47.700001,48,4.061,74.22841787,49.6,4.482
Turkey,50.200001,4489,53.226,104.9140756,58.34773401,2.769
Ukraine,46.5,696,15.914,77.38983756,53,2.999
United Arab Emirates,45.700001,260,26.288,112.4419258,90.60000732,0.784
United Kingdom,47.700001,38161,562.134,272.8982474,94.77580063,14.07
United States,45.299999,102836,310.68,35.60776459,76.17673698,5.886
Uruguay,48.900002,22,6.333,19.75059993,66.4,2.696
Uzbekistan,45.900002,14,0.418,76.13352139,46.79128694,0.399
Venezuela,47.700001,14,0.492,36.25312057,60,1.023
Yemen,43.099998,66,2.213,53.50762354,24.57920836,22.997
