country,deaths/mil,density
Afghanistan,6.319,54.42220537
Albania,11.467,104.8706934
Algeria,14.549,17.34787368
Andorra,660.066,163.7553191
Angola,0.122,23.89042512
Antigua and Barbuda,30.635,231.8454545
Argentina,11.505,16.17685635
Armenia,40.496,102.9311556
Aruba,28.099,584.8
Australia,4.039,3.202027127
Austria,74.169,106.7485671
Azerbaijan,5.72,119.3088685
Bahamas,27.972,39.4966034
Bahrain,8.815,1935.906615
Bangladesh,3.534,1265.036114
Barbados,24.359,664.4627907
Belarus,23.705,46.85759696
Belgium,814.781,375.5636724
Belize,5.03,16.42617273
Benin,0.247,99.11042923
Bermuda,144.525,1308.82
Bolivia,25.7,10.20179082
Bosnia and Herzegovina,46.635,68.49642578
Botswana,0.425,4.043655709
Brazil,131.154,25.04005413
British Virgin Islands,33.072,207.9733333
Brunei,4.572,81.34667932
Bulgaria,20.004,65.18046242
Burkina Faso,2.535,70.15125
Burundi,0.084,423.0625
Cameroon,6.668,50.88474329
Canada,184.913,4.03673422
Cape Verde,7.194,135.5801489
Cayman Islands,15.216,256.4958333
Central African Republic,0.207,7.478699156
Chad,3.957,11.83290502
Chile,49.382,24.28237924
China,3.222,147.674035
Colombia,16.764,44.22317711
Comoros,2.3,437.3519613
Congo,3.443,15.40483163
Costa Rica,1.963,96.07851547
Cote d'Ivoire,1.213,76.39858491
Croatia,25.09,73.72587563
Cuba,7.24,110.40796
Curacao,6.094,362.6441441
Cyprus,19.409,127.6570346
Czech Republic,29.788,137.1755343
Democratic Republic of Congo,0.77,35.87922101
Denmark,98.063,136.519876
Djibouti,20.243,41.28494392
Dominican Republic,44.986,222.8730698
Ecuador,188.969,66.93854888
Egypt,8.589,97.99904666
El Salvador,6.629,307.8114382
Equatorial Guinea,8.553,45.19390374
Estonia,50.507,31.03279075
Ethiopia,0.07,104.957438
Finland,56.671,18.1358485
France,439.903,122.5783763
Gabon,6.739,7.859420965
Gambia,0.414,207.5660079
Georgia,3.008,65.03201652
Germany,101.32,237.0163371
Ghana,1.094,126.7189461
Greece,16.79,83.47882855
Guam,29.624,304.1277778
Guatemala,5.024,157.8341079
Guinea,1.675,51.75474524
Guinea-Bissau,4.065,66.19071835
Guyana,13.985,3.951531623
Haiti,3.069,398.4480769
Honduras,20.092,82.80513898
Hungary,53.518,108.042936
Iceland,29.304,3.404329177
India,3.602,450.4186167
Indonesia,5.557,145.7251881
Iran,91.401,49.83102974
Iraq,4.599,88.12538681
Ireland,333.145,69.87382784
Isle of Man,282.247,147.8719298
Israel,32.811,402.6062847
Italy,549.586,205.8591691
Jamaica,3.039,266.8789474
Japan,7.005,347.7775867
Jordan,0.882,109.2853458
Kazakhstan,1.971,6.681352002
Kenya,1.153,87.32449309
Kosovo,15.522,168.1546799
Kuwait,45.427,232.1283951
Kyrgyzstan,2.452,32.33315954
Latvia,12.724,31.21164362
Lebanon,3.809,594.5608016
Liberia,5.338,49.12693106
Libya,0.728,3.6228878
Liechtenstein,26.221,237.0125
Lithuania,24.979,45.13521149
Luxembourg,175.726,231.4474903
Macedonia,60.479,82.59952419
Madagascar,0.181,43.95134926
Malawi,0.209,197.5191345
Malaysia,3.553,96.25403744
Maldives,9.25,1454.433333
Mali,3.605,15.19597768
Malta,15.854,1454.0375
Mauritania,4.301,4.288526244
Mauritius,7.863,622.962069
Mexico,73.023,66.44372335
Moldova,71.394,123.6545094
Monaco,127.408,19347.5
Montenegro,14.33,46.28037175
Morocco,5.473,80.07972216
Mozambique,0.064,37.72836796
Myanmar,0.11,81.72139554
Nepal,0.206,204.4297035
Netherlands,346.136,508.5441971
New Zealand,4.562,18.20629676
Nicaragua,5.283,51.66678577
Niger,2.644,16.95535486
Nigeria,1.266,209.5878334
Northern Mariana Islands,34.748,119.8782609
Norway,43.532,14.46213637
Oman,7.833,14.97984491
Pakistan,6.315,255.5727934
Palestine,0.98,778.2021595
Panama,75.554,55.13299704
Paraguay,1.542,17.14396426
Peru,128.291,25.12928516
Philippines,8.596,351.8733944
Poland,27.77,124.0270453
Portugal,135.632,112.3707003
Puerto Rico,46.14,376.2319053
Qatar,12.495,227.3222222
Romania,64.457,85.12925504
Russia,29.972,8.823117238
San Marino,1237.551,556.6666667
Sao Tome and Principe,54.754,212.840625
Saudi Arabia,13.156,15.32230833
Senegal,2.449,82.32777749
Serbia,35.564,80.29119598
Sierra Leone,5.641,104.699529
Singapore,3.931,7915.730606
Sint Maarten (Dutch part),349.797,1209.088235
Slovakia,5.129,113.128395
Slovenia,51.95,102.6190665
Somalia,4.53,23.5000526
South Africa,10.302,46.75428534
South Korea,5.247,527.9667727
Sri Lanka,0.467,341.9550311
Sudan,5.314,23.25841751
Suriname,1.705,3.611551282
Swaziland,1.724,79.49151163
Sweden,430.724,24.71764504
Switzerland,191.343,214.2427624
Tajikistan,4.928,64.28128918
Tanzania,0.352,64.69859901
Thailand,0.817,135.1318542
Togo,1.57,143.3663173
Trinidad and Tobago,5.716,266.8859649
Tunisia,4.061,74.22841787
Turkey,53.226,104.9140756
Turks and Caicos Islands,25.828,37.31157895
Ukraine,15.914,77.38983756
United Arab Emirates,26.288,112.4419258
United Kingdom,562.134,272.8982474
United States,310.68,35.60776459
United States Virgin Islands,57.459,306.48
Uruguay,6.333,19.75059993
Uzbekistan,0.418,76.13352139
Venezuela,0.492,36.25312057
World,46.812,58.04498566
Yemen,2.213,53.50762354
Zambia,0.381,22.99483447
Zimbabwe,0.269,42.72949205
