countries,fat rate
Afghanistan,1.801
Africa,2.903
Albania,3.003
Algeria,6.985
Andorra,6.675
Argentina,3.375
Armenia,1.383
Aruba,2.97
Asia,2.745
Asia excl. China,2.512
Australia,1.436
Austria,4.026
Azerbaijan,1.163
Bahamas,10.784
Bahrain,0.144
Bangladesh,1.358
Belarus,0.55
Belgium,16.264
Benin,1.339
Bermuda,6.429
Bolivia,3.436
Bosnia and Herzegovina,6.157
Brazil,5.993
Brunei,1.418
Bulgaria,5.562
Burkina Faso,6.257
Cambodia,0
Cameroon,3.256
Canada,7.806
Cape Verde,0.988
Cayman Islands,0.709
Central African Republic,0.114
Chad,8.564
Chile,1.042
China,5.513
Colombia,3.196
Congo,3.237
Costa Rica,0.978
Cote d'Ivoire,1.164
Croatia,4.588
Cuba,4.09
Cyprus,1.807
Czech Republic,3.469
Democratic Republic of Congo,2.436
Denmark,4.9
Djibouti,0.686
Dominican Republic,2.952
Ecuador,8.644
Egypt,3.981
El Salvador,1.888
Equatorial Guinea,1.151
Estonia,3.604
Ethiopia,0.826
Europe,9.05
European Union,11.872
Faeroe Islands,0
Finland,4.634
France,19.185
Gabon,0.574
Georgia,1.609
Germany,4.685
Ghana,0.446
Gibraltar,0
Greece,6.016
Guam,2.907
Guatemala,1.954
Guernsey,5.159
Guinea,0.602
Guinea-Bissau,0.637
Guyana,7.333
Haiti,2.21
High income,7.632
Honduras,4.073
Hungary,13.46
Iceland,0.554
India,2.861
Indonesia,6.028
Iran,5.234
Iraq,3.15
Ireland,6.613
Isle of Man,7.143
Israel,1.672
Italy,14.308
Jamaica,1.565
Japan,5.273
Jersey,9.416
Jordan,1.233
Kazakhstan,0.356
Kenya,3.553
Kosovo,2.863
Kuwait,0.77
Kyrgyzstan,0.929
Latvia,2.256
Lebanon,2.218
Liberia,9.89
Libya,4.237
Lithuania,4.091
Low income,2.375
Lower middle income,2.897
Luxembourg,2.742
Macedonia,5.915
Madagascar,0.716
Malawi,1.465
Malaysia,1.487
Maldives,0.314
Mali,5.954
Malta,1.136
Mauritania,4.728
Mauritius,2.985
Mexico,11.125
Moldova,3.647
Mongolia,0
Montenegro,2.778
Morocco,2.619
Mozambique,0.855
Myanmar,2.679
Nepal,0.495
Netherlands,12.858
New Zealand,1.906
Nicaragua,4.611
Niger,6.702
Nigeria,2.806
North America,6.121
Norway,2.806
Oceania,1.53
Oman,0.407
Pakistan,2.099
Palestine,0.8
Panama,2.602
Paraguay,1.2
Peru,2.853
Philippines,5.663
Poland,4.539
Portugal,4.329
Puerto Rico,3.619
Qatar,0.068
Romania,6.533
Russia,1.128
Rwanda,0
San Marino,6.259
Sao Tome and Principe,2.592
Saudi Arabia,0.56
Senegal,1.196
Serbia,2.131
Sierra Leone,5.428
Singapore,0.068
Slovakia,1.842
Slovenia,7.332
Somalia,3.939
South Africa,2.09
South America,4.784
South Korea,2.351
South Sudan,1.006
Sri Lanka,0.642
Sudan,5.154
Swaziland,0.717
Sweden,11.926
Switzerland,5.386
Syria,3.279
Taiwan,1.584
Tajikistan,1.319
Tanzania,4.126
Thailand,1.853
Togo,3.037
Trinidad and Tobago,6.897
Tunisia,4.482
Turkey,2.769
Uganda,0
Ukraine,2.999
United Arab Emirates,0.784
United Kingdom,14.07
United States,5.886
Upper middle income,4.111
Uruguay,2.696
Uzbekistan,0.399
Venezuela,1.023
Vietnam,0
World,6.185
World excl. China,6.194
World excl. China and South Korea,6.202
Yemen,22.997
Zambia,0.662
Zimbabwe,2.5
