country,% internet
Eritrea,1.17711872
Somalia,1.88
Guinea-Bissau,3.761413832
Central African Republic,4
Niger,4.32275803
Madagascar,4.713662899
Chad,5
Burundi,5.173626777
Democratic Republic of Congo,6.20997406
South Sudan,6.679728051
Liberia,7.319106411
Comoros,7.938322771
Congo,8.121949323
Papua New Guinea,9.601538462
Guinea,9.8
Afghanistan,10.59572642
Solomon Islands,11.00090227
Mali,11.11218649
Togo,11.31
Malawi,11.47
Sierra Leone,11.77318438
Benin,11.99404791
Haiti,12.23260161
Angola,13
Tanzania,13
Djibouti,13.13491511
Kiribati,13.7
Burkina Faso,13.96
Ethiopia,15.36692386
Pakistan,15.51455779
Kenya,16.6
Mozambique,17.52123909
Turkmenistan,17.99032446
Mauritania,18
Bangladesh,18.246938
Gambia,18.5
Nepal,19.68876384
Rwanda,20
Libya,20.27215956
Tajikistan,20.47
Iraq,21.23
Laos,21.87
Uganda,21.87617046
Mongolia,22.2657705
Zimbabwe,23.11998904
Equatorial Guinea,23.77999997
Vanuatu,24
Nicaragua,24.57183396
Yemen,24.57920836
Cameroon,25
Myanmar,25.07330424
Timor,25.24624959
Indonesia,25.45
Zambia,25.50657885
Senegal,25.66476804
Nigeria,25.67
Lesotho,27.36
Sao Tome and Principe,28
Sudan,28
Swaziland,28.57352278
El Salvador,28.99707305
Samoa,29.41173011
India,29.54716289
Marshall Islands,29.78777936
Honduras,30
Pacific island small states,30.60721347
Namibia,31.03334594
Syrian Arab Republic,31.86962727
Sri Lanka,32.05100274
Cambodia,32.39845171
Micronesia (country),33.35216255
Kyrgyzstan,34.5
Guatemala,34.50932609
Ghana,34.66600065
Guyana,35.66
Botswana,39.36299738
Bolivia,39.6975146
Tonga,39.95
Cote d'Ivoire,41.21
Egypt,41.24806709
Bhutan,41.77264453
Arab World,42.68994465
Algeria,42.94552688
Cuba,42.98
Jamaica,44.36685637
Belize,44.57574032
Suriname,45.4
Peru,45.46174069
Tuvalu,46.00915151
Vietnam,46.5
Fiji,46.50697831
Saint Lucia,46.72907806
Uzbekistan,46.79128694
Thailand,47.50496562
Gabon,48.05227375
Middle East & North Africa,48.33150623
Tunisia,49.6
Cape Verde,50.32281787
Mauritius,52.19132594
East Asia & Pacific,52.949997
Ukraine,53
China,53.2
Iran,53.22677263
Paraguay,53.4
Caribbean small states,53.55820249
Panama,54
South Africa,54
Ecuador,54.06292473
Philippines,55.5
Saint Vincent and the Grenadines,55.57461942
Grenada,55.85640782
Seychelles,56.51470815
Colombia,58.13649357
Morocco,58.27123642
Turkey,58.34773401
Maldives,59.09258997
Georgia,59.26
Romania,59.50395129
Mexico,59.540446
United States Virgin Islands,59.6083158
Bulgaria,59.82554766
Venezuela,60
Bosnia and Herzegovina,60.26
Brazil,60.87254007
Palestine,61.17838483
Italy,61.32425277
Curacao,61.85551074
Jordan,62.30219257
Dominican Republic,63.87
Armenia,64.34602977
Costa Rica,66.02871285
Albania,66.3634447
Uruguay,66.4
Dominica,67.03
Serbia,67.05684137
French Polynesia,68.44041949
Greenland,68.50087368
Puerto Rico,68.64
Greece,69.08791547
Montenegro,69.88164684
Portugal,70.42356709
Argentina,70.96898082
Moldova,70.99999911
Belarus,71.11304576
Macedonia,72.15681447
Croatia,72.69730605
Antigua and Barbuda,73
Russia,73.09143462
Trinidad and Tobago,73.29694122
Poland,73.3007
Lithuania,74.37664556
Kazakhstan,74.58772647
Saudi Arabia,74.88
Slovenia,75.49850426
Cyprus,75.90036019
Lebanon,76.11
United States,76.17673698
Czech Republic,76.48120138
Saint Kitts and Nevis,76.81767491
Oman,76.85
Guam,77.00999989
Malta,77.28939482
Azerbaijan,78.2
Kuwait,78.36738376
Malaysia,78.78830993
Cayman Islands,79
Hungary,79.25940132
France,79.27
Euro area,79.3593949
Barbados,79.54939789
Israel,79.65312418
Latvia,79.84209778
Bahamas,80
Slovakia,80.4759
Spain,80.56133294
Macao,81.64298546
Chile,83.56
Austria,84.32333129
Singapore,84.45
Ireland,85.01113212
Belgium,86.5165
Estonia,87.23733209
Hong Kong,87.47784626
Finland,87.70364996
Australia,88.23865805
New Zealand,88.47018635
Switzerland,89.13468774
Germany,89.64710059
Sweden,89.65094761
Brunei,90
Netherlands,90.4109589
United Arab Emirates,90.60000732
Canada,91.16
South Korea,92.84302568
Japan,93.18272128
Aruba,93.54245387
Qatar,94.29111815
Gibraltar,94.44447158
United Kingdom,94.77580063
Faeroe Islands,95.10868167
Monaco,95.20817797
Denmark,96.96778525
Norway,97.29820367
Andorra,97.93063712
Bahrain,97.9999807
Bermuda,98
Liechtenstein,98.09390389
Luxembourg,98.13669867
Iceland,98.2400163
