country,age,deaths
Niger,29.4,64
Cote d'Ivoire,30.700001,32
Somalia,31.1,72
Tanzania,32.799999,21
Nigeria,33.099998,261
Mauritania,33.299999,20
Chad,33.400002,65
Congo,33.599998,19
Togo,33.799999,13
Burkina Faso,33.900002,53
Mali,34.299999,73
Iraq,34.5,185
Sudan,34.599998,233
Sao Tome and Principe,34.799999,12
Senegal,34.799999,41
Cameroon,35.099998,177
South Sudan,35.299999,10
Democratic Republic of Congo,35.799999,69
Liberia,35.799999,27
Guinea,35.900002,22
Ghana,36.400002,34
Sierra Leone,37.299999,45
Equatorial Guinea,38.400002,12
Kenya,40,62
Gabon,40.200001,15
Pakistan,41.5,1395
Tajikistan,41.700001,47
Philippines,42.099998,942
Djibouti,42.200001,20
Egypt,42.200001,879
Haiti,42.599998,35
Yemen,43.099998,66
Afghanistan,43.200001,246
Kyrgyzstan,43.299999,16
South Africa,43.299999,611
Kazakhstan,43.400002,37
Kuwait,43.5,194
Indonesia,43.900002,1520
Russia,43.900002,4374
Guyana,44.299999,11
Israel,45,284
Bolivia,45.099998,300
Belarus,45.299999,224
United States,45.299999,102836
United Arab Emirates,45.700001,260
India,45.900002,4971
Paraguay,45.900002,11
Uzbekistan,45.900002,14
Azerbaijan,46.099998,58
Luxembourg,46.099998,110
Guatemala,46.400002,90
Lithuania,46.400002,68
Sweden,46.5,4350
Ukraine,46.5,696
Australia,46.700001,103
Denmark,46.700001,568
Argentina,46.900002,520
Qatar,47,36
Belgium,47.099998,9443
Norway,47.099998,236
Algeria,47.200001,638
France,47.299999,28714
Georgia,47.299999,12
Bahamas,47.5,11
Ireland,47.5,1645
Saudi Arabia,47.5,458
Latvia,47.599998,24
Malaysia,47.599998,115
Panama,47.599998,326
Canada,47.700001,6979
Tunisia,47.700001,48
United Kingdom,47.700001,38161
Venezuela,47.700001,14
Bulgaria,47.799999,139
Czech Republic,47.799999,319
Finland,47.900002,314
Honduras,48.099998,199
Ecuador,48.400002,3334
Hungary,48.599998,517
New Zealand,48.599998,22
Romania,48.599998,1240
Slovakia,48.599998,28
Macedonia,48.700001,126
Netherlands,48.700001,5931
Serbia,48.700001,242
Mauritius,48.799999,10
Peru,48.900002,4230
Uruguay,48.900002,22
Bahrain,49,15
Dominican Republic,49,488
Estonia,49,67
Slovenia,49,108
Moldova,49.299999,288
Austria,49.400002,668
Colombia,49.400002,853
Switzerland,49.400002,1656
Morocco,49.5,202
Oman,49.5,40
China,49.599998,4638
Bosnia and Herzegovina,49.799999,153
Iceland,49.900002,10
Germany,50,8489
Chile,50.099998,944
Turkey,50.200001,4489
Cyprus,50.400002,17
Mexico,50.400002,9415
Croatia,50.5,103
Italy,50.5,33229
Thailand,50.5,57
Armenia,50.599998,120
Bangladesh,50.599998,582
Brazil,50.799999,27878
Cuba,50.799999,82
Costa Rica,51.099998,10
Lebanon,51.099998,26
Iran,51.200001,7677
Nicaragua,51.400002,35
Sri Lanka,51.400002,10
Poland,51.5,1051
El Salvador,51.700001,43
Spain,51.700001,28752
Japan,51.799999,886
Greece,51.900002,175
Portugal,52.5,1383
Albania,53.200001,33
Puerto Rico,53.599998,132
Singapore,56.799999,23
