country,age,deaths norm,deaths/mil norm,density norm,% internet norm,fat rate norm
Afghanistan,43.200001,50.11475697,20.43959633,61.83473178,10.59572642,12.18020847
Albania,53.200001,50.01118394,20.81885591,63.64182125,66.3634447,17.1603646
Algeria,47.200001,50.30537024,21.04591069,60.50671113,42.94552688,33.65868551
Argentina,46.900002,50.24799175,20.82165542,60.46476472,70.96898082,18.70164421
Armenia,50.599998,50.05348842,22.95745854,63.57234606,64.34602977,10.44834053
Australia,46.700001,50.04522203,20.27162589,60,88.23865805,10.66793144
Austria,49.400002,50.31995799,25.43819044,63.7090876,84.32333129,21.39888351
Azerbaijan,46.099998,50.0233404,20.39546725,64.15900373,78.2,9.536831087
Bahamas,47.5,50.00048626,22.03479984,61.30008944,80,49.39879628
Bahrain,49,50.00243129,20.62347976,114.9022264,97.9999807,5.31488508
Bangladesh,50.599998,50.27813977,20.23442191,105.1995129,18.246938,10.34475991
Belarus,45.299999,50.10405928,21.72044463,61.56376382,71.11304576,6.997034323
Belgium,47.099998,54.58687491,80,73.33817587,86.5165,72.10366784
Bolivia,45.099998,50.14101492,21.86741877,60.25073495,39.6975146,18.95438091
Bosnia and Herzegovina,49.799999,50.06953494,23.40972632,62.33887723,60.26,30.22809543
Brazil,50.799999,60.37349503,29.63634645,60.78224879,60.87254007,29.54860657
Bulgaria,47.799999,50.06272733,21.44778735,62.2200978,59.82554766,27.76287671
Burkina Faso,33.900002,50.02090911,20.16082433,62.39815384,13.96,30.6424179
Cameroon,35.099998,50.08120514,20.4653076,61.70801817,25,18.20860046
Canada,47.700001,53.38873437,33.59683901,60.02989962,91.16,37.06027302
Chad,33.400002,50.02674421,20.26558485,60.30916226,5,40.20083737
Chile,50.099998,50.45416529,23.61210124,60.7551085,83.56,9.035500894
China,49.599998,52.25040359,20.21143648,65.17505784,53.2,27.55985869
Colombia,49.400002,50.40991578,21.20909251,61.46939761,58.13649357,17.96000698
Congo,33.599998,50.00437633,20.22771782,60.43711041,8.121949323,18.12987919
Costa Rica,51.099998,50,20.11868438,63.32688114,66.02871285,8.770334511
Cote d'Ivoire,30.700001,50.01069768,20.06343094,62.62193643,41.21,9.540974312
Croatia,50.5,50.04522203,21.82247931,62.52619867,72.69730605,23.72737581
Cuba,50.799999,50.0350106,20.50744755,63.84016884,42.98,21.66404989
Cyprus,50.400002,50.00340381,21.40395295,64.45803911,75.90036019,12.20506782
Czech Republic,47.799999,50.15025383,22.16858683,64.79899642,76.48120138,19.09110733
Democratic Republic of Congo,35.799999,50.02868924,20.03079458,61.17051303,6.20997406,14.81115618
Denmark,46.700001,50.27133215,27.19849121,64.77551042,96.96778525,25.02006193
Djibouti,42.200001,50.00486258,21.46539477,61.36414867,13.13491511,7.560512888
Dominican Republic,49,50.23243149,23.28824244,67.86872396,63.87,16.94906014
Ecuador,48.400002,51.61632272,33.89564959,62.28307332,54.06292473,40.53229535
Egypt,42.200001,50.4225585,20.60683006,63.39567551,41.24806709,21.2124384
El Salvador,51.700001,50.01604653,20.46243442,70.91125778,28.99707305,12.54066902
Equatorial Guinea,38.400002,50.00097252,20.6041779,61.50416952,23.77999997,9.48711239
Estonia,49,50.02771673,23.69498139,60.99691154,87.23733209,19.65044267
Finland,47.900002,50.14782254,24.14909096,60.53493677,87.70364996,23.91796415
France,47.299999,60.7596814,52.38227028,64.27611909,79.27,84.2060273
Gabon,40.200001,50.00243129,20.47053825,60.16683012,48.05227375,7.096471717
Georgia,47.299999,50.00097252,20.19567083,62.2147804,59.26,11.38470932
Germany,50,54.12298446,27.43843846,68.3753427,89.64710059,24.12926861
Ghana,36.400002,50.0116702,20.05466407,64.42443632,34.66600065,6.566138951
Greece,51.900002,50.08023263,21.21100796,62.87555421,69.08791547,29.64390074
Guatemala,46.400002,50.03890067,20.34419207,65.53899661,34.50932609,12.81412185
Guinea,35.900002,50.0058351,20.09746706,61.73918206,9.8,7.21248201
Guyana,44.299999,50.00048626,21.00436011,60.02684762,35.66,35.10052772
Haiti,42.599998,50.01215646,20.20016478,74.15790641,12.23260161,13.87478739
Honduras,48.099998,50.09190283,21.45427042,62.85142232,30,21.59361507
Hungary,48.599998,50.24653298,23.91680552,63.75545253,79.25940132,60.48606568
Iceland,49.900002,50,22.13292994,60.00724656,98.2400163,7.013607222
India,45.900002,52.41232762,20.23943155,76.01951651,29.54716289,16.57202669
Indonesia,43.900002,50.73425009,20.38345884,65.10524919,25.45,29.69361943
Iran,51.200001,53.72814269,26.70769337,61.67027363,53.22677263,26.40389899
Iraq,34.5,50.08509521,20.31288179,63.04199619,21.23,17.76941864
Ireland,47.5,50.79503238,44.51727529,62.38821644,85.01113212,32.11740591
Israel,45,50.13323478,22.39129501,74.30685545,79.65312418,11.64573248
Italy,50.5,62.84536498,60.46275366,67.25927774,61.32425277,63.99952026
Japan,51.799999,50.42596231,20.49013481,72.34286472,93.18272128,26.56548476
Kazakhstan,43.400002,50.01312898,20.11927375,60.12463112,74.58772647,6.193248724
Kenya,40,50.02528543,20.05901067,63.01330779,16.6,19.43913821
Kuwait,43.5,50.08947153,23.32073146,68.20025423,78.36738376,7.908543766
Kyrgyzstan,43.299999,50.00291755,20.15470962,61.04349138,34.5,8.567316499
Latvia,47.599998,50.00680762,20.91146067,61.00331813,79.84209778,14.06537573
Lebanon,51.099998,50.00778013,20.2546815,81.18275993,76.11,13.90793319
Liberia,35.799999,50.00826639,20.36732484,61.64505247,7.319106411,45.69475337
Lithuania,46.400002,50.02820298,21.8143018,61.50206713,74.37664556,21.66819312
Luxembourg,46.099998,50.04862583,32.92002127,68.17586389,98.13669867,16.07898295
Macedonia,48.700001,50.05640597,24.42963107,62.8440571,72.15681447,29.22543504
Malaysia,47.599998,50.05105713,20.23582166,63.33316843,78.78830993,10.8792359
Mali,34.299999,50.03063428,20.23965257,60.42962916,11.11218649,29.3870208
Mauritania,33.299999,50.00486258,20.29092775,60.03891893,18,24.30742728
Mauritius,48.799999,50,20.55334474,82.20010719,52.19132594,17.08578656
Mexico,50.400002,54.57325968,25.35376319,62.26534843,59.540446,50.81163592
Moldova,49.299999,50.13517982,25.23375273,64.3146667,70.99999911,19.82860133
Morocco,49.5,50.0933616,20.37727046,62.75379656,58.27123642,15.5693663
Netherlands,48.700001,52.87913563,45.47433846,78.10160317,90.4109589,57.99184439
